,field,time_period,ranking,university_name,score,faculty,image_url
315,ml,2020,11,Concordia University,4.3,3,./assets/concordia.jpeg
316,ml,2020,11,University of Guelph,4.3,3,./assets/guelph.jpeg
317,ml,2020,13,Carleton University,4.0,2,./assets/carleton.jpeg
318,ml,2020,14,McMaster University,3.8,3,
319,ml,2020,15,University of Ottawa,3.7,2,./assets/uottawa.jpeg
320,ml,2020,16,Dalhousie University,2.5,3,./assets/dalhousie.jpeg
321,ml,2020,17,Polytechnique Montreal,2.3,2,
322,ml,2020,17,Western University,2.3,1,./assets/western.jpeg
323,ml,2020,19,University of Victoria,2.2,1,./assets/uvic.jpeg
324,ml,2020,20,University of Manitoba,2.1,2,./assets/umanitoba.jpeg
325,ml,2020,21,Université du Québec à Montréal,1.7,1,
326,ml,2020,22,University of Calgary,1.5,1,./assets/ucalgary.jpeg
327,ml,2020,23,Queen’s University,1.3,1,./assets/queens.jpeg
328,ml,2020,23,University of Regina,1.3,1,
329,ml,2020,25,University of Saskatchewan,1.1,1,./assets/usask.jpeg
330,irnlp,2020,1,University of Waterloo,14.6,23,./assets/waterloo.jpeg
331,irnlp,2020,2,University of Toronto,9.7,14,./assets/uoft.jpeg
332,irnlp,2020,3,University of Alberta,7.0,8,./assets/alberta.jpeg
333,irnlp,2020,4,McGill University,5.2,6,./assets/mcgill.webp
334,irnlp,2020,4,University of Montreal,5.2,8,./assets/umontreal.jpeg
335,irnlp,2020,6,Simon Fraser University,4.2,6,./assets/sfu.jpeg
336,irnlp,2020,7,University of British Columbia,3.9,5,./assets/ubc.jpeg
337,irnlp,2020,8,University of Ottawa,3.2,4,./assets/uottawa.jpeg
338,irnlp,2020,9,Queen’s University,2.6,1,./assets/queens.jpeg
339,irnlp,2020,10,Dalhousie University,1.9,2,./assets/dalhousie.jpeg
340,irnlp,2020,10,University of New Brunswick,1.9,2,
341,irnlp,2020,10,York University,1.9,3,./assets/york.jpeg
342,irnlp,2020,13,Polytechnique Montreal,1.4,1,
343,irnlp,2020,13,Western University,1.4,1,./assets/western.jpeg
344,irnlp,2020,15,Brock University,1.3,1,
345,irnlp,2020,16,Carleton University,1.2,1,./assets/carleton.jpeg
346,irnlp,2020,16,University of Regina,1.2,2,
347,irnlp,2020,16,Université du Québec à Montréal,1.2,2,
348,hci,2020,1,University of Toronto,59.2,19,./assets/uoft.jpeg
349,hci,2020,2,University of Waterloo,29.8,10,./assets/waterloo.jpeg
350,hci,2020,3,University of British Columbia,17.6,10,./assets/ubc.jpeg
351,hci,2020,4,Simon Fraser University,17.3,10,./assets/sfu.jpeg
352,hci,2020,5,University of Saskatchewan,13.4,2,./assets/usask.jpeg
353,hci,2020,6,University of Manitoba,11.8,4,./assets/umanitoba.jpeg
354,hci,2020,7,University of Calgary,11.3,10,./assets/ucalgary.jpeg
355,hci,2020,8,Carleton University,5.6,3,./assets/carleton.jpeg
356,hci,2020,8,Queen’s University,5.6,2,./assets/queens.jpeg
357,hci,2020,8,University of Victoria,5.6,3,./assets/uvic.jpeg
358,hci,2020,11,University of Guelph,4.4,3,./assets/guelph.jpeg
359,hci,2020,12,Dalhousie University,3.9,5,./assets/dalhousie.jpeg
360,hci,2020,13,University of New Brunswick,3.4,1,
361,hci,2020,14,Polytechnique Montreal,2.2,1,
362,hci,2020,15,McGill University,2.0,5,./assets/mcgill.webp
363,hci,2020,16,McMaster University,1.5,1,
364,hci,2020,17,University of Ottawa,1.3,1,./assets/uottawa.jpeg
365,hci,2020,18,York University,1.2,1,./assets/york.jpeg
366,hci,2020,19,University of Alberta,1.1,1,./assets/alberta.jpeg
